date_time,temperature,humidity,wind_speed,wind_direction,pressure,precipitation,cloud_coverage,weather_condition,forecasted_weather
01-01-2024 00:00,32.9,84.5,5,24,1025.2,6.6,15.7,snowy,cloudy
01-01-2024 01:00,31.3,31.3,9.4,179,1026.6,2.4,5.9,clear,rainy
01-01-2024 02:00,21.2,50.9,14.5,161,1037.4,1.6,2.7,foggy,sunny
01-01-2024 03:00,12.4,73.1,12.1,349,1028.2,9.3,85.9,rainy,rainy
01-01-2024 04:00,19.3,76,5.7,214,1048.3,19.6,33.1,cloudy,cloudy
01-01-2024 05:00,26.7,55,7.6,123,1011.9,4.9,49.3,sunny,rainy
01-01-2024 06:00,26.6,31,3.8,291,983.5,8.2,29.2,sunny,clear
01-01-2024 07:00,24.8,67.1,1.2,155,1007.6,12.8,16.6,rainy,rainy
01-01-2024 08:00,16.9,33.8,5.1,192,1038.8,7,26.1,sunny,sunny
01-01-2024 09:00,24,36.5,6.2,327,989.3,0.1,17,foggy,rainy
01-01-2024 10:00,19.6,69,8.9,52,1031.5,7.9,75.8,clear,snowy
01-01-2024 11:00,34.3,48.7,14.2,169,1017.5,16.1,90.8,cloudy,clear
01-01-2024 12:00,31.2,50.9,14.3,334,1043,18.9,43.5,rainy,sunny
01-01-2024 13:00,28,59.2,2,97,1031.2,5.5,82.3,cloudy,rainy
01-01-2024 14:00,15.9,88.7,9.6,146,1026.2,18.4,42.6,foggy,sunny
01-01-2024 15:00,16.4,87.9,1.6,299,1042.1,17.3,44.7,sunny,cloudy
01-01-2024 16:00,11,55,10.1,29,1043.6,8.1,48.5,foggy,rainy
01-01-2024 17:00,27.8,45.9,2.6,73,1006.9,0.1,82,snowy,foggy
01-01-2024 18:00,12.8,48.2,14.2,171,1044.9,16.9,93.6,snowy,foggy
01-01-2024 19:00,21,46.1,13.1,83,983.8,5.7,74.4,foggy,sunny
01-01-2024 20:00,15,61.9,1.3,72,1033.4,15.1,88.8,cloudy,clear
01-01-2024 21:00,32.4,66.4,11.9,231,1003.6,11.4,64.3,rainy,foggy
01-01-2024 22:00,21.9,59.3,9.9,289,1014.1,4.4,83.9,rainy,foggy
01-01-2024 23:00,24.1,54.5,7.9,126,1038.5,13,55.7,cloudy,rainy
02-01-2024 00:00,27.4,42.7,9.4,84,1024.6,15.3,77.3,clear,clear
02-01-2024 01:00,13.5,59,10.5,253,1012,9.5,70.5,cloudy,snowy
02-01-2024 02:00,25.1,50.5,13.4,151,991.5,15,74.9,foggy,rainy
02-01-2024 03:00,23.5,62.5,11.7,311,1045.7,8.1,23.4,foggy,snowy
02-01-2024 04:00,15.1,70.5,9.1,6,1003.3,19.6,15.4,snowy,cloudy
02-01-2024 05:00,33.6,68,12.5,306,987.1,4.8,65.3,rainy,sunny
02-01-2024 06:00,25,57.7,14.8,135,1019.5,15.6,48.3,snowy,foggy
02-01-2024 07:00,27.4,63.4,5.2,183,1008.4,15,76.5,rainy,rainy
02-01-2024 08:00,32,47.1,2.7,313,1021.3,10.6,14.7,cloudy,clear
02-01-2024 09:00,25.6,31.5,11.2,340,996.3,7,94.8,clear,foggy
02-01-2024 10:00,17.4,67.5,14.7,226,1006.5,8.9,70.4,sunny,cloudy
02-01-2024 11:00,12.6,45.2,2.6,324,1048.1,12.6,2.3,rainy,sunny
02-01-2024 12:00,21.4,70.1,7,243,1045.6,10.6,57.7,clear,foggy
02-01-2024 13:00,15.5,74.8,1.9,263,1040.5,15.2,31.3,clear,foggy
02-01-2024 14:00,20.4,85,11.9,250,1034.5,7.2,27.5,clear,snowy
02-01-2024 15:00,32.1,87.5,14.3,169,991,2.1,90.2,cloudy,cloudy
02-01-2024 16:00,18.1,30.6,8,53,1012.7,10.1,83.6,clear,clear
02-01-2024 17:00,13.1,89.4,6.7,131,1031,5.2,1,clear,foggy
02-01-2024 18:00,18.9,71,13.7,314,998.3,12.3,18.2,foggy,foggy
02-01-2024 19:00,32.7,68.6,2.9,93,982.3,10.4,72,foggy,sunny
02-01-2024 20:00,16.8,30.9,13.5,45,1009.3,15.6,84.8,rainy,clear
02-01-2024 21:00,26.2,81.7,6.5,349,1009.8,11.5,71.8,foggy,clear
02-01-2024 22:00,10,38.7,8.8,98,984.6,8.6,52.5,rainy,rainy
02-01-2024 23:00,18.8,80.2,8.4,233,1002.4,2.4,98.5,clear,rainy
03-01-2024 00:00,17.6,30.9,9.6,268,1044.2,2.4,79.7,foggy,foggy
03-01-2024 01:00,14.1,68.8,14.2,36,997.5,12.8,46.8,snowy,rainy
03-01-2024 02:00,23.4,56.1,14.3,74,1019.8,17.6,58.3,sunny,foggy
03-01-2024 03:00,22.1,42,12.6,57,1014.2,8.3,4.5,sunny,clear
03-01-2024 04:00,27.3,36.5,3.7,18,1040.3,10.6,96.5,cloudy,rainy
03-01-2024 05:00,16.7,56.4,5.7,187,1025.7,11.8,36.3,foggy,sunny
03-01-2024 06:00,16.1,37.4,7.8,138,991.1,9.5,66.2,cloudy,cloudy
03-01-2024 07:00,14.2,59.2,13.7,142,990,1.2,66.7,sunny,cloudy
